actor,action,rep,phase,frame_in_phase,0x08C,0x118,0x144,0x04C,0x1AC,0x044,0x048,0x054
p1,lp,1,post,10,2,260579,2148654880,4294965584,0,65536,0,65536
p1,lp,1,post,11,2,260579,2148654880,4294965184,0,65536,0,65536
p1,lp,1,post,12,2,260579,2148654880,4294965184,0,65536,0,65536
p1,lp,1,post,13,2,260579,2148654880,4294964688,0,65536,0,65536
p1,lp,2,pre,0,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,1,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,2,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,3,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,4,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,5,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,6,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,pre,7,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,hold,0,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,hold,1,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,hold,2,0,260578,2148654880,0,0,65536,0,65536
p1,lp,2,hold,3,0,260579,2148654648,0,0,65536,0,65536
p1,lp,2,hold,4,0,260579,2148654648,0,0,65536,0,65536
p1,lp,2,hold,5,2,260579,2148654880,0,0,65536,0,65536
p1,lp,2,hold,6,2,260579,2148654880,0,0,65536,0,65536
p1,lp,2,hold,7,2,260579,2148653720,0,0,65536,0,65536
p1,lp,2,hold,8,2,260579,2148654880,0,0,65536,0,65536
p1,lp,2,hold,9,2,260579,2148654880,0,0,65536,0,65536
p1,lp,2,post,0,2,260579,2148654880,4294967200,0,65536,0,65536
p1,lp,2,post,1,2,260579,2148654880,4294967088,0,65536,0,65536
p1,lp,2,post,2,2,260579,2148654880,4294967088,0,65536,0,65536
p1,lp,2,post,3,2,260579,2148654880,4294966800,0,65536,0,65536
p1,lp,2,post,4,2,260579,2148654880,4294966800,0,65536,0,65536
p1,lp,2,post,5,2,260579,2148654880,4294966496,0,65536,0,65536
p1,lp,2,post,6,2,260579,2148654880,4294966496,0,65536,0,65536
p1,lp,2,post,7,2,260579,2148654880,4294901760,0,65536,0,65536
p1,lp,2,post,8,2,260579,2148654880,4294966096,0,65536,0,65536
p1,lp,2,post,9,2,260579,2148654880,4294965584,0,65536,0,65536
p1,lp,2,post,10,2,260579,2148654880,4294965584,0,65536,0,65536
p1,lp,2,post,11,2,260579,2148654880,4294965184,0,65536,0,65536
p1,lp,2,post,12,2,260579,2148654880,4294965184,0,65536,0,65536
p1,lp,2,post,13,2,260579,2148654880,4294964688,0,65536,0,65536
p1,hp,0,pre,0,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,1,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,2,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,3,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,4,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,5,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,6,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,pre,7,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,hold,0,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,hold,1,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,hold,2,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,hold,3,0,260578,2148654880,0,0,65536,0,65536
p1,hp,0,hold,4,0,260579,2148654648,0,0,65536,0,65536
p1,hp,0,hold,5,0,260579,2148653256,0,0,65536,0,65536
p1,hp,0,hold,6,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,hold,7,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,hold,8,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,hold,9,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,post,0,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,post,1,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,post,2,0,260579,2148654880,0,0,65536,0,65536
p1,hp,0,post,3,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,0,post,4,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,0,post,5,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,0,post,6,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,0,post,7,3,260579,2148654648,0,417447,65536,0,65536
