actor,action,rep,phase,frame_in_phase,0x080,0x094,0x0D0,0x04C,0x0C0,0x0C4,0x0CC,0x130
p2,hk,1,hold,5,0,0,22,526174,260752,260752,1,3020
p2,hk,1,hold,6,0,0,22,526174,260752,260752,1,3021
p2,hk,1,hold,7,0,0,22,526174,260752,260752,1,3021
p2,hk,1,hold,8,0,0,22,526174,260752,260752,1,3022
p2,hk,1,hold,9,0,0,22,526174,260752,260752,1,3022
p2,hk,1,post,0,0,0,22,526174,260752,260752,1,3023
p2,hk,1,post,1,0,0,22,526174,260752,260752,1,3023
p2,hk,1,post,2,0,0,22,526174,260752,260752,1,3024
p2,hk,1,post,3,0,4294881969,22,533080,0,0,0,3025
p2,hk,1,post,4,0,4294881969,22,533080,0,0,0,3025
p2,hk,1,post,5,0,4294881969,24,533080,0,0,0,3026
p2,hk,1,post,6,0,4294881969,24,533080,0,0,0,3026
p2,hk,1,post,7,0,4294881969,24,533080,0,0,0,3026
p2,hk,1,post,8,0,4294881969,24,533080,0,0,0,3027
p2,hk,1,post,9,0,4294881969,24,533080,0,0,0,3028
p2,hk,1,post,10,0,4294881969,24,533080,0,0,0,3028
p2,hk,1,post,11,0,4294881969,24,533080,0,0,0,3028
p2,hk,1,post,12,0,4294881969,24,533080,0,0,0,3029
p2,hk,1,post,13,0,4294881969,24,533080,0,0,0,3030
p2,hk,2,pre,0,0,0,22,526174,260785,260752,2,3014
p2,hk,2,pre,1,0,0,22,526174,260785,260752,2,3014
p2,hk,2,pre,2,0,0,22,526174,260785,260752,2,3015
p2,hk,2,pre,3,0,0,22,526174,260785,260752,2,3015
p2,hk,2,pre,4,0,0,22,526174,260785,260752,2,3016
p2,hk,2,pre,5,0,0,22,526174,260785,260752,2,3016
p2,hk,2,pre,6,0,0,22,526174,260785,260752,2,3017
p2,hk,2,pre,7,0,0,22,526174,260785,260752,2,3018
p2,hk,2,hold,0,0,0,22,526174,260785,260752,2,3018
p2,hk,2,hold,1,0,0,22,526174,260785,260752,2,3018
p2,hk,2,hold,2,0,0,22,526174,260785,260752,2,3019
p2,hk,2,hold,3,0,0,22,526174,260752,260752,1,3020
p2,hk,2,hold,4,0,0,22,526174,260752,260752,1,3020
p2,hk,2,hold,5,0,0,22,526174,260752,260752,1,3020
p2,hk,2,hold,6,0,0,22,526174,260752,260752,1,3021
p2,hk,2,hold,7,0,0,22,526174,260752,260752,1,3022
p2,hk,2,hold,8,0,0,22,526174,260752,260752,1,3022
p2,hk,2,hold,9,0,0,22,526174,260752,260752,1,3022
p2,hk,2,post,0,0,0,22,526174,260752,260752,1,3023
p2,hk,2,post,1,0,0,22,526174,260752,260752,1,3023
p2,hk,2,post,2,0,0,22,526174,260752,260752,1,3024
p2,hk,2,post,3,0,4294881969,22,533080,0,0,0,3024
p2,hk,2,post,4,0,4294881969,22,533080,0,0,0,3025
p2,hk,2,post,5,0,4294881969,24,533080,0,0,0,3025
p2,hk,2,post,6,0,4294881969,24,533080,0,0,0,3026
p2,hk,2,post,7,0,4294881969,24,533080,0,0,0,3026
p2,hk,2,post,8,0,4294881969,24,533080,0,0,0,3027
p2,hk,2,post,9,0,4294881969,24,533080,0,0,0,3027
p2,hk,2,post,10,0,4294881969,24,533080,0,0,0,3028
p2,hk,2,post,11,0,4294881969,24,533080,0,0,0,3029
p2,hk,2,post,12,0,4294881969,24,533080,0,0,0,3029
p2,hk,2,post,13,0,4294881969,24,533080,0,0,0,3029
